match_id,is_win,ban_order,champion
30,True,1,카타리나
30,False,1,킨드레드
30,True,2,사미라
30,False,2,비에고
30,True,3,헤카림
30,False,3,판테온
30,True,4,아무무
30,False,4,뽀삐
31,True,0,카타리나
31,False,0,카이사
31,True,1,쓰레쉬
31,False,1,그레이브즈
31,True,2,요네
31,False,2,사미라
31,True,3,드레이븐
31,False,3,노틸러스
31,True,4,레오나
31,False,4,질리언
32,True,0,사미라
32,False,0,그레이브즈
32,True,1,야스오
32,False,1,세나
32,True,2,카타리나
32,False,2,킨드레드
32,True,3,다리우스
32,False,3,세라핀
32,True,4,제라스
32,False,4,릴리아
33,True,0,피들스틱
33,False,0,사미라
33,True,1,세라핀
33,False,1,킨드레드
33,True,2,엘리스
33,False,2,비에고
33,True,3,헤카림
33,False,3,카이사
33,True,4,
33,False,4,드레이븐
34,True,0,사미라
34,False,0,아칼리
34,True,1,아이번
34,False,1,그레이브즈
34,True,2,이블린
34,False,2,세라핀
34,True,3,드레이븐
34,False,3,카타리나
34,True,4,야스오
34,False,4,요네
35,True,0,사미라
35,False,0,킨드레드
35,True,1,람머스
35,False,1,그레이브즈
35,True,2,말파이트
35,False,2,엘리스
35,True,3,제라스
35,False,3,녹턴
35,True,4,세라핀
35,False,4,모데카이저
36,True,0,사미라
36,False,0,진
36,True,1,갱플랭크
36,False,1,카이사
36,True,2,리산드라
36,False,2,세나
36,True,3,탈리야
36,False,3,베인
36,True,4,킨드레드
36,False,4,코그모
37,True,0,갱플랭크
37,False,0,사미라
37,True,1,갈리오
37,False,1,카타리나
37,True,2,가렌
37,False,2,그라가스
37,True,3,세라핀
37,False,3,소라카
37,True,4,그레이브즈
37,False,4,우디르
38,True,0,드레이븐
38,False,0,킨드레드
38,True,1,세트
38,False,1,그레이브즈
38,True,2,질리언
38,False,2,벨코즈
38,True,3,세라핀
38,False,3,카타리나
38,True,4,바드
38,False,4,오리아나
39,True,0,카타리나
39,False,0,비에고
39,True,1,킨드레드
39,False,1,제라스
39,True,2,세나
39,False,2,카이사
39,True,3,말파이트
39,False,3,세라핀
39,True,4,녹턴
39,False,4,뽀삐
40,True,0,카타리나
40,False,0,비에고
40,True,1,사미라
40,False,1,람머스
40,True,2,카이사
40,False,2,요네
40,True,3,판테온
40,False,3,아펠리오스
40,True,4,레오나
40,False,4,자야
41,True,0,사미라
41,False,0,세라핀
41,True,1,노틸러스
41,False,1,엘리스
41,True,2,요네
41,False,2,가렌
41,True,3,나서스
41,False,3,킨드레드
41,True,4,다리우스
41,False,4,그레이브즈
42,True,0,사미라
42,False,0,그레이브즈
42,True,1,녹턴
42,False,1,카타리나
42,True,2,요네
42,False,2,킨드레드
42,True,3,말파이트
42,False,3,나미
42,True,4,레오나
42,False,4,가렌
43,True,0,세라핀
43,False,0,비에고
43,True,1,엘리스
43,False,1,카타리나
43,True,2,카이사
43,False,2,사미라
43,True,3,녹턴
43,False,3,레오나
43,True,4,나미
43,False,4,럭스
44,True,0,이즈리얼
44,False,0,그레이브즈
44,True,1,녹턴
44,False,1,킨드레드
44,True,2,블리츠크랭크
44,False,2,비에고
44,True,3,드레이븐
44,False,3,말파이트
44,True,4,애쉬
44,False,4,럭스
45,True,0,세라핀
45,False,0,비에고
45,True,1,스카너
45,False,1,요네
45,True,2,노틸러스
45,False,2,그레이브즈
45,True,3,사미라
45,False,3,킨드레드
45,True,4,엘리스
45,False,4,
46,True,0,비에고
46,False,0,세라핀
46,True,1,그레이브즈
46,False,1,말파이트
46,True,2,킨드레드
46,False,2,카이사
46,True,3,드레이븐
46,False,3,미스포츈
46,True,4,럭스
46,False,4,아펠리오스
47,True,0,사미라
47,False,0,카타리나
47,True,1,베인
47,False,1,레오나
47,True,2,비에고
47,False,2,니달리
47,True,3,세나
47,False,3,블리츠크랭크
47,True,4,카이사
47,False,4,엘리스
48,True,0,카이사
48,False,0,세라핀
48,True,1,비에고
48,False,1,요네
48,True,2,킨드레드
48,False,2,카타리나
48,True,3,노틸러스
48,False,3,헤카림
48,True,4,말파이트
48,False,4,드레이븐
49,True,0,킨드레드
49,False,0,세라핀
49,True,1,비에고
49,False,1,쓰레쉬
49,True,2,레오나
49,False,2,퀸
49,True,3,나르
49,False,3,녹턴
49,True,4,쉬바나
49,False,4,카타리나
50,True,0,사미라
50,False,0,카이사
50,True,1,킨드레드
50,False,1,세라핀
50,True,2,비에고
50,False,2,그라가스
50,True,3,제라스
50,False,3,스웨인
50,True,4,판테온
50,False,4,우디르
51,True,0,비에고
51,False,0,드레이븐
51,True,1,아칼리
51,False,1,라이즈
51,True,2,그라가스
51,False,2,그레이브즈
51,True,3,녹턴
51,False,3,사일러스
51,True,4,갱플랭크
51,False,4,르블랑
52,True,0,사이온
52,False,0,브랜드
52,True,1,말파이트
52,False,1,레오나
52,True,2,카이사
52,False,2,쓰레쉬
52,True,3,비에고
52,False,3,피즈
52,True,4,니코
52,False,4,헤카림
53,True,0,자야
53,False,0,신지드
53,True,1,라칸
53,False,1,스카너
53,True,2,요네
53,False,2,릴리아
53,True,3,카타리나
53,False,3,모르가나
53,True,4,오리아나
53,False,4,이즈리얼
54,True,0,럭스
54,False,0,세트
54,True,1,이즈리얼
54,False,1,카타리나
54,True,2,트린다미어
54,False,2,베인
54,True,3,루시안
54,False,3,리산드라
54,True,4,세나
54,False,4,오른
55,True,0,갈리오
55,False,0,비에고
55,True,1,라칸
55,False,1,리 신
55,True,2,그레이브즈
55,False,2,나르
55,True,3,요네
55,False,3,퀸
55,True,4,카타리나
55,False,4,세트
56,True,0,그레이브즈
56,False,0,세라핀
56,True,1,가렌
56,False,1,엘리스
56,True,2,킨드레드
56,False,2,카이사
56,True,3,리산드라
56,False,3,세나
56,True,4,판테온
56,False,4,렐
57,True,0,세라핀
57,False,0,뽀삐
57,True,1,우디르
57,False,1,카이사
57,True,2,시비르
57,False,2,비에고
57,True,3,카르마
57,False,3,이렐리아
57,True,4,세나
57,False,4,카타리나
58,True,0,드레이븐
58,False,0,가렌
58,True,1,다이애나
58,False,1,킨드레드
58,True,2,징크스
58,False,2,그레이브즈
58,True,3,질리언
58,False,3,카타리나
58,True,4,녹턴
58,False,4,요네
59,True,0,비에고
59,False,0,드레이븐
59,True,1,킨드레드
59,False,1,블리츠크랭크
59,True,2,뽀삐
59,False,2,세라핀
59,True,3,노틸러스
59,False,3,쓰레쉬
59,True,4,징크스
59,False,4,애니비아
60,True,0,요네
60,False,0,비에고
60,True,1,세라핀
60,False,1,킨드레드
60,True,2,카타리나
60,False,2,그레이브즈
60,True,3,판테온
60,False,3,뽀삐
60,True,4,녹턴
60,False,4,노틸러스
61,True,0,비에고
61,False,0,요네
61,True,1,신 짜오
61,False,1,세라핀
61,True,2,사미라
61,False,2,말파이트
61,True,3,킨드레드
61,False,3,하이머딩거
61,True,4,녹턴
61,False,4,엘리스
62,True,0,요네
62,False,0,비에고
62,True,1,오리아나
62,False,1,신 짜오
62,True,2,세라핀
62,False,2,그레이브즈
62,True,3,노틸러스
62,False,3,징크스
62,True,4,샤코
62,False,4,이즈리얼
63,True,0,제라스
63,False,0,사미라
63,True,1,비에고
63,False,1,피오라
63,True,2,킨드레드
63,False,2,블리츠크랭크
63,True,3,이즈리얼
63,False,3,카이사
63,True,4,레오나
63,False,4,세라핀
64,True,0,그레이브즈
64,False,0,사미라
64,True,1,킨드레드
64,False,1,세라핀
64,True,2,비에고
64,False,2,제라스
64,True,3,나르
64,False,3,레오나
64,True,4,이즈리얼
64,False,4,노틸러스
65,True,0,그레이브즈
65,False,0,제라스
65,True,1,뽀삐
65,False,1,요네
65,True,2,비에고
65,False,2,나르
65,True,3,블리츠크랭크
65,False,3,카직스
65,True,4,질리언
65,False,4,카타리나
66,True,0,제라스
66,False,0,비에고
66,True,1,미스 포츈
66,False,1,킨드레드
66,True,2,블리츠크랭크
66,False,2,뽀삐
66,True,3,갈리오
66,False,3,사미라
66,True,4,
66,False,4,벨코즈
67,True,0,사일러스
67,False,0,베인
67,True,1,제라스
67,False,1,요네
67,True,2,사미라
67,False,2,카타리나
67,True,3,카이사
67,False,3,징크스
67,True,4,세나
67,False,4,케이틀린
68,True,0,비에고
68,False,0,킨드레드
68,True,1,제라스
68,False,1,그레이브즈
68,True,2,요네
68,False,2,사미라
68,True,3,카이사
68,False,3,질리언
68,True,4,세라핀
68,False,4,블리츠크랭크
69,True,0,제라스
69,False,0,케인
69,True,1,세라핀
69,False,1,킨드레드
69,True,2,요네
69,False,2,비에고
69,True,3,탈론
69,False,3,블리츠크랭크
69,True,4,
69,False,4,레오나
70,True,0,세라핀
70,False,0,케인
70,True,1,사미라
70,False,1,킨드레드
70,True,2,스웨인
70,False,2,그레이브즈
70,True,3,람머스
70,False,3,징크스
70,True,4,녹턴
70,False,4,진
71,True,0,엘리스
71,False,0,그레이브즈
71,True,1,제라스
71,False,1,킨드레드
71,True,2,세라핀
71,False,2,케인
71,True,3,드레이븐
71,False,3,말자하
71,True,4,이즈리얼
71,False,4,갈리오
72,True,0,제라스
72,False,0,케인
72,True,1,블리츠크랭크
72,False,1,킨드레드
72,True,2,볼리베어
72,False,2,뽀삐
72,True,3,모르가나
72,False,3,사미라
72,True,4,세라핀
72,False,4,진
73,True,0,블리츠크랭크
73,False,0,제라스
73,True,1,세라핀
73,False,1,킨드레드
73,True,2,쉔
73,False,2,비에고
73,True,3,갈리오
73,False,3,사미라
73,True,4,레오나
73,False,4,녹턴
74,True,0,제라스
74,False,0,그웬
74,True,1,카타리나
74,False,1,블리츠크랭크
74,True,2,나르
74,False,2,그레이브즈
74,True,3,쓰레쉬
74,False,3,세라핀
74,True,4,모르가나
74,False,4,세나
75,True,0,제라스
75,False,0,비에고
75,True,1,갱플랭크
75,False,1,블리츠크랭크
75,True,2,리 신
75,False,2,세라핀
75,True,3,나르
75,False,3,사일러스
75,True,4,카르마
75,False,4,징크스
76,True,0,제라스
76,False,0,킨드레드
76,True,1,세라핀
76,False,1,그레이브즈
76,True,2,비에고
76,False,2,판테온
76,True,3,아펠리오스
76,False,3,카타리나
76,True,4,레오나
76,False,4,모르가나
77,True,0,제라스
77,False,0,킨드레드
77,True,1,세라핀
77,False,1,그레이브즈
77,True,2,비에고
77,False,2,사미라
77,True,3,모르가나
77,False,3,레오나
77,True,4,카이사
77,False,4,판테온
78,True,0,뽀삐
78,False,0,세라핀
78,True,1,비에고
78,False,1,엘리스
78,True,2,그레이브즈
78,False,2,제라스
78,True,3,노틸러스
78,False,3,판테온
78,True,4,말파이트
78,False,4,세트
79,True,0,그레이브즈
79,False,0,시비르
79,True,1,킨드레드
79,False,1,오른
79,True,2,뽀삐
79,False,2,리 신
79,True,3,케이틀린
79,False,3,코르키
79,True,4,
79,False,4,다이애나
80,True,0,뽀삐
80,False,0,트위스티드 페이트
80,True,1,킨드레드
80,False,1,베이가
80,True,2,세라핀
80,False,2,블리츠크랭크
80,True,3,카타리나
80,False,3,말파이트
80,True,4,요네
80,False,4,사미라
81,True,0,세라핀
81,False,0,뽀삐
81,True,1,앨리스
81,False,1,킨드레드
81,True,2,조이
81,False,2,그레이브즈
81,True,3,블리츠크랭크
81,False,3,사미라
81,True,4,요네
81,False,4,노틸러스
82,True,0,뽀삐
82,False,0,노틸러스
82,True,1,킨드레드
82,False,1,사이온
82,True,2,나르
82,False,2,제라스
82,True,3,요네
82,False,3,사미라
82,True,4,탈론
82,False,4,말파이트
83,True,0,뽀삐
83,False,0,레오나
83,True,1,그레이브즈
83,False,1,노틸러스
83,True,2,킨드레드
83,False,2,앨리스
83,True,3,베이가
83,False,3,사미라
83,True,4,나르
83,False,4,제라스
84,True,0,뽀삐
84,False,0,
84,True,1,그레이브즈
84,False,1,레넥톤
84,True,2,킨드레드
84,False,2,베이가
84,True,3,카타리나
84,False,3,제라스
84,True,4,탈론
84,False,4,사미라
85,True,0,블리츠크랭크
85,False,0,세나
85,True,1,레오나
85,False,1,뽀삐
85,True,2,쓰레쉬
85,False,2,세라핀
85,True,3,이즈리얼
85,False,3,사미라
85,True,4,
85,False,4,제라스
86,True,0,제라스
86,False,0,킨드레드
86,True,1,블리츠크랭크
86,False,1,카타리나
86,True,2,레오나
86,False,2,리 신
86,True,3,진
86,False,3,사미라
86,True,4,노틸러스
86,False,4,뽀삐
87,True,0,뽀삐
87,False,0,사미라
87,True,1,그레이브즈
87,False,1,이렐리아
87,True,2,킨드레드
87,False,2,라이즈
87,True,3,베이가
87,False,3,제라스
87,True,4,렐
87,False,4,스카너
88,True,0,요네
88,False,0,제라스
88,True,1,카타리나
88,False,1,일라오이
88,True,2,블리츠크랭크
88,False,2,세라핀
88,True,3,레오나
88,False,3,초가스
88,True,4,룰루
88,False,4,나미
89,True,0,세라핀
89,False,0,아무무
89,True,1,모르가나
89,False,1,이렐리아
89,True,2,케넨
89,False,2,다리우스
89,True,3,쉔
89,False,3,케일
89,True,4,말파이트
89,False,4,니코
90,True,0,그레이브즈
90,False,0,제라스
90,True,1,킨드레드
90,False,1,사미라
90,True,2,그웬
90,False,2,카이사
90,True,3,말파이트
90,False,3,비에고
90,True,4,갈리오
90,False,4,워윅
91,True,0,그레이브즈
91,False,0,제라스
91,True,1,킨드레드
91,False,1,갈리오
91,True,2,뽀삐
91,False,2,카이사
91,True,3,제드
91,False,3,사미라
91,True,4,요네
91,False,4,리 신
92,True,0,제라스
92,False,0,사미라
92,True,1,킨드레드
92,False,1,클레드
92,True,2,뽀삐
92,False,2,나르
92,True,3,이즈리얼
92,False,3,오리아나
92,True,4,드레이븐
92,False,4,빅토르
93,True,0,그레이브즈
93,False,0,사미라
93,True,1,킨드레드
93,False,1,이즈리얼
93,True,2,제라스
93,False,2,샤코
93,True,3,빅토르
93,False,3,나르
93,True,4,
93,False,4,카타리나
94,True,0,제라스
94,False,0,킨드레드
94,True,1,카타리나
94,False,1,그레이브즈
94,True,2,이즈리얼
94,False,2,레오나
94,True,3,탈론
94,False,3,뽀삐
94,True,4,말파이트
94,False,4,자야
95,True,0,그웬
95,False,0,제라스
95,True,1,뽀삐
95,False,1,이즈리얼
95,True,2,킨드레드
95,False,2,바루스
95,True,3,자야
95,False,3,헤카림
95,True,4,카타리나
95,False,4,
96,True,0,제라스
96,False,0,킨드레드
96,True,1,사미라
96,False,1,그웬
96,True,2,이즈리얼
96,False,2,뽀삐
96,True,3,렐
96,False,3,쓰레쉬
96,True,4,벨코즈
96,False,4,노틸러스
97,True,0,제라스
97,False,0,그레이브즈
97,True,1,이즈리얼
97,False,1,킨드레드
97,True,2,사미라
97,False,2,그웬
97,True,3,카타리나
97,False,3,문도 박사
97,True,4,말파이트
97,False,4,요릭
98,True,0,그웬
98,False,0,카타리나
98,True,1,뽀삐
98,False,1,이즈리얼
98,True,2,제라스
98,False,2,사미라
98,True,3,코그모
98,False,3,요네
98,True,4,말파이트
98,False,4,카밀
99,True,0,세라핀
99,False,0,뽀삐
99,True,1,제라스
99,False,1,카타리나
99,True,2,이즈리얼
99,False,2,오리아나
99,True,3,샤코
99,False,3,갈리오
99,True,4,
99,False,4,사일러스
100,True,0,코그모
100,False,0,제라스
100,True,1,피오라
100,False,1,그웬
100,True,2,카밀
100,False,2,뽀삐
100,True,3,자야
100,False,3,말파이트
100,True,4,누누와 월럼프
100,False,4,이즈리얼
101,True,0,카밀
101,False,0,그웬
101,True,1,판테온
101,False,1,뽀삐
101,True,2,스카너
101,False,2,그레이브즈
101,True,3,앨리스
101,False,3,베인
101,True,4,리 신
101,False,4,말파이트
102,True,0,스카너
102,False,0,제라스
102,True,1,카밀
102,False,1,그웬
102,True,2,세트
102,False,2,킨드레드
102,True,3,세주아니
102,False,3,레오나
102,True,4,피들스틱
102,False,4,카르마
103,True,0,제라스
103,False,0,그웬
103,True,1,스카너
103,False,1,그레이브즈
103,True,2,카타리나
103,False,2,킨드레드
103,True,3,요네
103,False,3,리 신
103,True,4,
103,False,4,비에고
104,True,0,그웬
104,False,0,제라스
104,True,1,그레이브즈
104,False,1,카타리나
104,True,2,킨드레드
104,False,2,탈론
104,True,3,헤카림
104,False,3,노틸러스
104,True,4,르블랑
104,False,4,말파이트
105,True,0,제라스
105,False,0,그레이브즈
105,True,1,카타리나
105,False,1,그웬
105,True,2,요네
105,False,2,이즈리얼
105,True,3,사미라
105,False,3,세트
105,True,4,노틸러스
105,False,4,룰루
106,True,0,제라스
106,False,0,그레이브즈
106,True,1,볼리베어
106,False,1,뽀삐
106,True,2,제드
106,False,2,이즈리얼
106,True,3,코그모
106,False,3,아무무
106,True,4,사미라
106,False,4,레오나
107,True,0,그웬
107,False,0,사미라
107,True,1,뽀삐
107,False,1,제라스
107,True,2,킨드레드
107,False,2,카타리나
107,True,3,레오나
107,False,3,루시안
107,True,4,럭스
107,False,4,이즈리얼
108,True,0,제라스
108,False,0,뽀삐
108,True,1,제드
108,False,1,그웬
108,True,2,사미라
108,False,2,카타리나
108,True,3,빅토르
108,False,3,녹턴
108,True,4,다이애나
108,False,4,말파이트
109,True,0,사미라
109,False,0,그웬
109,True,1,이즈리얼
109,False,1,카타리나
109,True,2,말파이트
109,False,2,킨드레드
109,True,3,제드
109,False,3,카밀
109,True,4,문도 박사
109,False,4,룰루
110,True,0,제드
110,False,0,그웬
110,True,1,신 짜오
110,False,1,카타리나
110,True,2,다이애나
110,False,2,제라스
110,True,3,노틸러스
110,False,3,레넥톤
110,True,4,사미라
110,False,4,카밀
111,True,0,카타리나
111,False,0,그웬
111,True,1,요네
111,False,1,킨드레드
111,True,2,말파이트
111,False,2,나르
111,True,3,알리스타
111,False,3,이즈리얼
111,True,4,
111,False,4,베인
112,True,0,제라스
112,False,0,카타리나
112,True,1,볼리베어
112,False,1,그웬
112,True,2,피들스틱
112,False,2,녹턴
112,True,3,사미라
112,False,3,자크
112,True,4,룰루
112,False,4,레오나
113,True,0,사미라
113,False,0,그웬
113,True,1,제드
113,False,1,카타리나
113,True,2,코그모
113,False,2,나르
113,True,3,모데카이저
113,False,3,레오나
113,True,4,제라스
113,False,4,트리스타나
114,True,0,말파이트
114,False,0,그웬
114,True,1,볼리베어
114,False,1,뽀삐
114,True,2,사미라
114,False,2,킨드레드
114,True,3,이즈리얼
114,False,3,그레이브즈
114,True,4,
114,False,4,비에고
115,True,0,그웬
115,False,0,카타리나
115,True,1,킨드레드
115,False,1,나르
115,True,2,뽀삐
115,False,2,리 신
115,True,3,코그모
115,False,3,아펠리오스
115,True,4,자야
115,False,4,카이사
116,True,0,카타리나
116,False,0,그웬
116,True,1,요네
116,False,1,야스오
116,True,2,사미라
116,False,2,뽀삐
116,True,3,룰루
116,False,3,제라스
116,True,4,볼리베어
116,False,4,제드
117,True,0,킨드레드
117,False,0,신 짜오
117,True,1,그웬
117,False,1,카직스
117,True,2,뽀삐
117,False,2,볼리베어
117,True,3,카타리나
117,False,3,쓰레쉬
117,True,4,오리아나
117,False,4,노틸러스
118,True,0,킨드레드
118,False,0,신 짜오
118,True,1,뽀삐
118,False,1,카직스
118,True,2,카타리나
118,False,2,볼리베어
118,True,3,이즈리얼
118,False,3,카이사
118,True,4,그레이브즈
118,False,4,제라스
119,True,0,신 짜오
119,False,0,킨드레드
119,True,1,카직스
119,False,1,그웬
119,True,2,클레드
119,False,2,카타리나
119,True,3,노틸러스
119,False,3,사미라
119,True,4,릴리아
119,False,4,룰루
120,True,0,말파이트
120,False,0,카타리나
120,True,1,세트
120,False,1,오리아나
120,True,2,노틸러스
120,False,2,요네
120,True,3,아펠리오스
120,False,3,나르
120,True,4,사미라
120,False,4,릴리아
121,True,0,카타리나
121,False,0,킨드레드
121,True,1,오리아나
121,False,1,뽀삐
121,True,2,요네
121,False,2,비에고
121,True,3,말파이트
121,False,3,아펠리오스
121,True,4,세트
121,False,4,이즈리얼
122,True,0,말파이트
122,False,0,뽀삐
122,True,1,카타리나
122,False,1,킨드레드
122,True,2,코그모
122,False,2,리 신
122,True,3,라칸
122,False,3,아펠리오스
122,True,4,레오나
122,False,4,이즈리얼
123,True,0,말파이트
123,False,0,킨드레드
123,True,1,피들스틱
123,False,1,오리아나
123,True,2,릴리아
123,False,2,카타리나
123,True,3,스카너
123,False,3,자르반 4세
123,True,4,볼리베어
123,False,4,이즈리얼
124,True,0,말파이트
124,False,0,킨드레드
124,True,1,볼리베어
124,False,1,오리아나
124,True,2,릴리아
124,False,2,카타리나
124,True,3,쓰레쉬
124,False,3,파이크
124,True,4,알리스타
124,False,4,클레드
125,True,0,볼리베어
125,False,0,킨드레드
125,True,1,리 신
125,False,1,오리아나
125,True,2,사일러스
125,False,2,요네
125,True,3,바이
125,False,3,아펠리오스
125,True,4,자르반 4세
125,False,4,이즈리얼
126,True,0,베인
126,False,0,킨드레드
126,True,1,사미라
126,False,1,제라스
126,True,2,볼리베어
126,False,2,조이
126,True,3,카시오페아
126,False,3,이즈리얼
126,True,4,직스
126,False,4,트위치
127,True,0,갈리오
127,False,0,가렌
127,True,1,그라가스
127,False,1,갱플랭크
127,True,2,그레이브즈
127,False,2,그웬
127,True,3,파이크
127,False,3,탈론
127,True,4,코그모
127,False,4,제드
128,True,0,카타리나
128,False,0,아펠리오스
128,True,1,뽀삐
128,False,1,베인
128,True,2,노틸러스
128,False,2,카이사
128,True,3,모르가나
128,False,3,볼리베어
128,True,4,파이크
128,False,4,자르반 4세
129,True,0,볼리베어
129,False,0,카타리나
129,True,1,아펠리오스
129,False,1,말파이트
129,True,2,사미라
129,False,2,뽀삐
129,True,3,카이사
129,False,3,리 신
129,True,4,요릭
129,False,4,클레드
130,True,0,카타리나
130,False,0,볼리베어
130,True,1,오리아나
130,False,1,레오나
130,True,2,킨드레드
130,False,2,아펠리오스
130,True,3,카시오페아
130,False,3,베인
